osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
29336099,30,secondary,Urban,,,,,,,,,,
153136133,40,secondary,Rural,,,,,,,,,,
31009925,60,trunk,Urban,,,,,,,,,,
23172010,20,tertiary,Urban,,,,,,,,,,
166490681,40,tertiary,Urban,,,,,,,,,,
24636322,30,primary,Rural,,,,,,,,,,
630175329,60,secondary,Urban,,,,,,,,,,
171980879,80,tertiary,Urban,,,,,,,,,,
25612872,60,secondary,Urban,,,,,,,,,,
248442790,60,primary,Urban,,,,,,,,,,
4794436,30,tertiary,Urban,,,,,,,,,,
80731825,30,secondary,Urban,,,,,,,,,,
157554424,40,tertiary,Urban,,,,,,,,,,
37334825,40,tertiary,Urban,,,,,,,,,,
4960406,40,tertiary,Urban,,,,,,,,,,
45652152,40,tertiary,Urban,,,,,,,,,,
28316152,60,secondary,Urban,,,,,,,,,,
207272564,60,trunk,Rural,,,,,,,,,,
245824782,40,tertiary,Urban,,,,,,,,,,
25800032,40,tertiary,Urban,,,,,,,,,,
151324871,40,tertiary,Urban,,,,,,,,,,
485773059,40,tertiary,Urban,,,,,,,,,,
4896142,60,primary,Urban,,,,,,,,,,
674668140,60,primary,Urban,,,,,,,,,,
1123799169,40,tertiary,Urban,,,,,,,,,,
49040124,40,primary,Urban,,,,,,,,,,
18329100,40,secondary,Urban,,,,,,,,,,
23519796,40,tertiary,Urban,,,,,,,,,,
194245163,80,primary,Urban,,,,,,,,,,
27905622,40,tertiary,Urban,,,,,,,,,,
59471366,20,trunk,Rural,,,,,,,,,,
887866211,40,tertiary,Urban,,,,,,,,,,
251446498,60,secondary,Urban,,,,,,,,,,
29339571,30,secondary,Urban,,,,,,,,,,
1061169996,40,secondary,Urban,,,,,,,,,,
4270604,40,secondary,Rural,,,,,,,,,,
620642399,40,tertiary,Urban,,,,,,,,,,
24375212,30,tertiary,Urban,,,,,,,,,,
10587290,30,tertiary,Urban,,,,,,,,,,
160452789,40,tertiary,Urban,,,,,,,,,,
104660762,80,primary,Urban,,,,,,,,,,
1190057624,60,secondary,Urban,35.000000239694444,,,,,,,,,
23961512,30,secondary,Rural,,,,,,,,,,
98461318,30,tertiary,Urban,,,,,,,,,,
53144589,20,tertiary,Urban,,,,,,,,,,
99453423,40,tertiary,Urban,,,,,,,,,,
13845345,30,secondary,Urban,,,,,,,,,,
127522020,40,tertiary,Urban,,,,,,,,,,
95484714,40,tertiary,Urban,,,,,,,,,,
105702256,60,primary,Urban,,,,,,,,,,
149848410,40,tertiary,Urban,,,,,,,,,,
144905294,40,tertiary,Urban,,,,,,,,,,
23213762,30,secondary,Urban,,,,,,,,,,
106212239,60,secondary,Urban,,,,,,,,,,
127134136,80,primary,Urban,,,,,,,,,,
368461882,40,secondary,Urban,,,,,,,,,,
680843931,40,tertiary,Urban,,,,,,,,,,
104373669,40,tertiary,Urban,,,,,,,,,,
23961567,30,tertiary,Rural,,,,,,,,,,
27906261,80,primary,Urban,,,,,,,,,,
116426162,40,tertiary,Urban,,,,,,,,,,
132397229,30,tertiary,Urban,,,,,,,,,,
56197677,40,tertiary,Urban,,,,,,,,,,
166219968,30,tertiary,Urban,,,,,,,,,,
246729116,60,secondary,Urban,,,,,,,,,,
4970426,30,tertiary,Urban,,,,,,,,,,
90967351,40,tertiary,Urban,,,,,,,,,,
593153959,80,primary,Urban,,,,,,,,,,
108110343,60,secondary,Rural,,,,,,,,,,
106768827,40,tertiary,Urban,,,,,,,,,,
142871867,40,tertiary,Urban,,,,,,,,,,
153751844,40,tertiary,Urban,,,,,,,,,,
348821523,40,tertiary,Rural,,,,,,,,,,
106393064,40,tertiary,Urban,,,,,,,,,,
23087112,40,tertiary,Urban,,,,,,,,,,
912288621,40,tertiary,Urban,,,,,,,,,,
46990641,20,tertiary,Urban,,,,,,,,,,
124826624,20,tertiary,Urban,,,,,,,,,,
166189567,40,tertiary,Urban,,,,,,,,,,
246788025,40,tertiary,Urban,,,,,,,,,,
79143071,20,tertiary,Urban,,,,,,,,,,
51125781,40,tertiary,Urban,,,,,,,,,,
28741520,40,secondary,Urban,,,,,,,,,,
88617173,60,primary,Urban,,,,,,,,,,
1154967595,80,secondary,Urban,,,,,,,,,,
28812119,40,tertiary,Urban,,,,,,,,,,
24204934,30,tertiary,Urban,,,,,,,,,,
243498720,40,tertiary,Urban,,,,,,,,,,
389124437,40,tertiary,Rural,,,,,,,,,,
114943205,60,secondary,Urban,,,,,,,,,,
108706525,30,secondary,Urban,,,,,,,,,,
46715617,40,tertiary,Urban,,,,,,,,,,
56872246,60,primary,Urban,,,,,,,,,,
907198460,40,tertiary,Urban,,,,,,,,,,
4813922,60,primary,Urban,,,,,,,,,,
859189065,30,tertiary,Urban,,,,,,,,,,
222917340,40,primary,Rural,,,,,,,,,,
190596438,20,trunk,Urban,,,,,,,,,,
6059794,30,tertiary,Urban,,,,,,,,,,
23961412,30,tertiary,Urban,,,,,,,,,,
28933168,40,secondary,Urban,,,,,,,,,,
903548620,80,tertiary,Rural,,,,,,,,,,
99210252,80,primary,Urban,,,,,,,,,,
23961659,30,secondary,Urban,,,,,,,,,,
2679609,60,secondary,Urban,,,,,,,,,,
31303886,60,secondary,Urban,,,,,,,,,,
42759920,60,secondary,Urban,,,,,,,,,,
4277150,40,tertiary,Urban,,,,,,,,,,
23949677,40,primary,Rural,,,,,,,,,,
47094136,50,primary,Urban,,,,,,,,,,
203433923,40,tertiary,Urban,,,,,,,,,,
30077625,40,tertiary,Urban,,,,,,,,,,
54927938,30,trunk,Urban,,,,,,,,,,
866621022,40,tertiary,Urban,,,,,,,,,,
586653093,40,tertiary,Urban,,,,,,,,,,
207272563,40,tertiary,Rural,,,,,,,,,,
324469119,40,secondary,Rural,,,,,,,,,,
83005204,60,secondary,Urban,,,,,,,,,,
47414598,40,tertiary,Urban,,,,,,,,,,
159664741,40,tertiary,Urban,,,,,,,,,,
83020113,30,tertiary,Urban,,,,,,,,,,
342896064,60,secondary,Rural,,,,,,,,,,
4948651,40,tertiary,Urban,,,,,,,,,,
622275194,40,tertiary,Urban,,,,,,,,,,
169542555,40,tertiary,Urban,,,,,,,,,,
791215986,60,secondary,Urban,,,,,,,,,,
23213934,20,tertiary,Urban,,,,,,,,,,
109729822,50,secondary,Urban,,,,,,,,,,
89463488,80,primary,Urban,,,,,,,,,,
29369627,40,tertiary,Urban,,,,,,,,,,
152947843,40,secondary,Rural,,,,,,,,,,
13845243,30,secondary,Urban,,,,,,,,,,
245824798,40,tertiary,Urban,,,,,,,,,,
153147575,30,tertiary,Rural,,,,,,,,,,
104091025,40,tertiary,Urban,,,,,,,,,,
167433014,70,trunk,Urban,,,,,,,,,,
88191120,40,secondary,Urban,,,,,,,,,,
4928819,60,secondary,Urban,,,,,,,,,,
53309220,30,tertiary,Urban,,,,,,,,,,
396411283,40,tertiary,Urban,,,,,,,,,,
1320022131,40,tertiary,Urban,,,,,,,,,,
